time,frontend_mem,frontend_cpu,frontend_restarts,checkoutservice_mem,checkoutservice_cpu,checkoutservice_restarts,cartservice_mem,cartservice_cpu,cartservice_restarts,currencyservice_mem,currencyservice_cpu,currencyservice_restarts,paymentservice_mem,paymentservice_cpu,paymentservice_restarts,recommendationservice_mem,recommendationservice_cpu,recommendationservice_restarts,productcatalogservice_mem,productcatalogservice_cpu,productcatalogservice_restarts,shippingservice_mem,shippingservice_cpu,shippingservice_restarts,emailservice_mem,emailservice_cpu,emailservice_restarts,adservice_mem,adservice_cpu,adservice_restarts
1782909858,10297344.000000,0.011714,0.000000,7487488.000000,0.000447,0.000000,53342208.000000,0.005707,0.000000,31662080.000000,0.004224,0.000000,25235456.000000,0.000418,0.000000,33083392.000000,0.006053,0.000000,8577024.000000,0.004685,0.000000,7393280.000000,0.000391,0.000000,37515264.000000,,1.000000,93130752.000000,0.012652,0.000000
1782909888,10297344.000000,,0.000000,7487488.000000,0.000228,0.000000,53776384.000000,0.005874,0.000000,32165888.000000,,0.000000,25272320.000000,0.000383,0.000000,33153024.000000,0.006412,0.000000,8589312.000000,0.005040,0.000000,7389184.000000,,0.000000,37507072.000000,0.001340,1.000000,93167616.000000,0.005200,0.000000
1782909918,10313728.000000,,0.000000,7663616.000000,0.000257,0.000000,54697984.000000,0.005862,0.000000,32788480.000000,0.009659,0.000000,25427968.000000,0.000887,0.000000,33144832.000000,0.005554,0.000000,8609792.000000,0.005660,0.000000,7397376.000000,0.000714,0.000000,37515264.000000,0.001479,1.000000,93454336.000000,0.005814,0.000000
1782909948,10629120.000000,0.012003,0.000000,7663616.000000,0.000271,0.000000,54984704.000000,0.005132,0.000000,33259520.000000,0.008032,0.000000,25251840.000000,0.000500,0.000000,33148928.000000,0.006100,0.000000,8617984.000000,0.005140,0.000000,7397376.000000,0.000696,0.000000,37515264.000000,,1.000000,93454336.000000,,0.000000
1782909978,10661888.000000,0.011737,0.000000,7688192.000000,,0.000000,55103488.000000,0.005888,0.000000,33767424.000000,0.008263,0.000000,25337856.000000,0.000499,0.000000,33148928.000000,0.005527,0.000000,8617984.000000,0.004932,0.000000,7397376.000000,0.000498,0.000000,37507072.000000,,1.000000,93532160.000000,,0.000000
1782910008,10649600.000000,0.011680,0.000000,7823360.000000,0.000664,0.000000,55115776.000000,0.006043,0.000000,34131968.000000,0.007825,0.000000,25382912.000000,0.000492,0.000000,33148928.000000,0.006579,0.000000,8302592.000000,0.005331,0.000000,7397376.000000,,0.000000,37515264.000000,0.001407,1.000000,105103360.000000,0.010568,0.000000
1782910038,10448896.000000,0.013995,0.000000,7831552.000000,0.000847,0.000000,55177216.000000,0.006614,0.000000,34758656.000000,0.010357,0.000000,25382912.000000,,0.000000,33157120.000000,0.007201,0.000000,8302592.000000,,0.000000,7401472.000000,,0.000000,37515264.000000,0.001449,1.000000,105103360.000000,0.013353,0.000000
1782910068,10579968.000000,0.012110,0.000000,7835648.000000,0.000814,0.000000,55226368.000000,0.005253,0.000000,35016704.000000,0.006964,0.000000,25309184.000000,,0.000000,33148928.000000,0.006086,0.000000,8294400.000000,,0.000000,7401472.000000,0.000886,0.000000,37507072.000000,0.001506,1.000000,93839360.000000,,0.000000
1782910098,10526720.000000,0.012382,0.000000,7839744.000000,0.000856,0.000000,55205888.000000,0.003475,0.000000,35618816.000000,0.008858,0.000000,24920064.000000,0.002383,0.000000,33157120.000000,0.006375,0.000000,8294400.000000,0.005200,0.000000,7557120.000000,0.000672,0.000000,37507072.000000,0.000971,1.000000,93782016.000000,0.005418,0.000000
1782910128,10805248.000000,0.012942,0.000000,7847936.000000,0.000627,0.000000,55324672.000000,0.006996,0.000000,34365440.000000,0.007225,0.000000,24936448.000000,0.000567,0.000000,33148928.000000,0.006146,0.000000,8294400.000000,0.005490,0.000000,7368704.000000,0.000789,0.000000,37507072.000000,,1.000000,93798400.000000,0.002291,0.000000
