timestamp,service,level,message
1782909310476551936,frontend,DEBUG,request started
1782909310476582912,frontend,DEBUG,serving product page
1782909310494616064,frontend,DEBUG,request complete
1782909310775398912,frontend,DEBUG,request started
1782909310775432192,frontend,DEBUG,serving product page
1782909310794616064,frontend,DEBUG,request complete
1782909310797341952,frontend,DEBUG,request started
1782909310797362176,frontend,DEBUG,serving product page
1782909310811778048,frontend,DEBUG,request complete
1782909311269357824,frontend,DEBUG,request started
1782909311269414912,frontend,DEBUG,serving product page
1782909311293267968,frontend,DEBUG,request complete
1782909314074675968,frontend,DEBUG,request started
1782909314074723072,frontend,DEBUG,serving product page
1782909314083528960,frontend,DEBUG,request started
1782909314083704832,frontend,DEBUG,serving product page
1782909314097019904,frontend,DEBUG,request complete
1782909314108016128,frontend,DEBUG,request complete
1782909314183459072,frontend,DEBUG,request started
1782909314183619072,frontend,DEBUG,serving product page
1782909314199973120,frontend,DEBUG,request complete
1782909314311488000,frontend,DEBUG,request started
1782909314311634176,frontend,DEBUG,setting currency
1782909314311700224,frontend,DEBUG,request complete
1782909314312666880,frontend,DEBUG,request started
1782909314312679936,frontend,INFO,home
1782909314325530112,frontend,INFO,env platform is either empty or invalid
1782909314327739904,frontend,DEBUG,ENV_PLATFORM is: local
1782909314333070080,frontend,DEBUG,request complete
1782909314727841024,frontend,DEBUG,request started
1782909314727870976,frontend,DEBUG,serving product page
1782909314745620992,frontend,DEBUG,request complete
1782909314746959872,frontend,DEBUG,request started
1782909314747248896,frontend,DEBUG,adding to cart
1782909314751104000,frontend,DEBUG,request complete
1782909314752039936,frontend,DEBUG,request started
1782909314752075008,frontend,DEBUG,view user cart
1782909314767623936,frontend,DEBUG,request complete
1782909314769475072,frontend,DEBUG,request started
1782909314769511936,frontend,DEBUG,placing order
1782909314805605888,frontend,INFO,order placed
1782909314813133056,frontend,DEBUG,request complete
1782909316042622208,frontend,DEBUG,request started
1782909316042654976,frontend,DEBUG,serving product page
1782909316062189056,frontend,DEBUG,request complete
1782909316063527168,frontend,DEBUG,request started
1782909316063726848,frontend,DEBUG,adding to cart
1782909316067811072,frontend,DEBUG,request complete
1782909316068589056,frontend,DEBUG,request started
1782909316068636928,frontend,DEBUG,view user cart
1782909316085073920,frontend,DEBUG,request complete
1782909316139367936,frontend,DEBUG,request started
1782909316139436032,frontend,DEBUG,serving product page
1782909316157476864,frontend,DEBUG,request complete
1782909316424093952,frontend,DEBUG,request started
1782909316424209152,frontend,DEBUG,serving product page
1782909316446213888,frontend,DEBUG,request complete
1782909318012476928,frontend,DEBUG,request started
1782909318012538880,frontend,INFO,home
1782909318027442944,frontend,INFO,env platform is either empty or invalid
1782909318029818112,frontend,DEBUG,ENV_PLATFORM is: local
1782909318034586880,frontend,DEBUG,request complete
1782909318044825088,frontend,DEBUG,request started
1782909318044897024,frontend,DEBUG,serving product page
1782909318060316160,frontend,DEBUG,request complete
1782909318351811840,frontend,DEBUG,request started
1782909318351880960,frontend,DEBUG,serving product page
1782909318366560000,frontend,DEBUG,request complete
1782909318586209024,frontend,DEBUG,request started
1782909318586381824,frontend,DEBUG,request complete
1782909318586736896,frontend,DEBUG,request started
1782909318586745088,frontend,DEBUG,request complete
1782909319033655808,frontend,DEBUG,request started
1782909319033888000,frontend,DEBUG,serving product page
1782909319038347008,frontend,DEBUG,request started
1782909319038553088,frontend,DEBUG,view user cart
1782909319054418944,frontend,DEBUG,request complete
1782909319062746880,frontend,DEBUG,request complete
1782909320441104896,frontend,DEBUG,request started
1782909320441137152,frontend,DEBUG,serving product page
1782909320459933952,frontend,DEBUG,request complete
1782909320937001984,frontend,DEBUG,request started
1782909320937032960,frontend,DEBUG,serving product page
1782909320954339072,frontend,DEBUG,request complete
1782909321530334976,frontend,DEBUG,request started
1782909321530420992,frontend,DEBUG,view user cart
1782909321541223936,frontend,DEBUG,request complete
1782909322818707968,frontend,DEBUG,request started
1782909322818747904,frontend,DEBUG,serving product page
1782909322834300160,frontend,DEBUG,request complete
1782909323807510016,frontend,DEBUG,request started
1782909323807544832,frontend,DEBUG,serving product page
1782909323824786944,frontend,DEBUG,request complete
1782909324401902848,frontend,DEBUG,request started
1782909324401931008,frontend,INFO,home
1782909324459977984,frontend,INFO,env platform is either empty or invalid
1782909324462935040,frontend,DEBUG,ENV_PLATFORM is: local
1782909324467991040,frontend,DEBUG,request complete
1782909324734092032,frontend,DEBUG,request started
1782909324734147072,frontend,DEBUG,serving product page
1782909324754182144,frontend,DEBUG,request complete
1782909325333259008,frontend,DEBUG,request started
1782909325333289984,frontend,DEBUG,serving product page
1782909325349783808,frontend,DEBUG,request complete
1782909326029939968,frontend,DEBUG,request started
