time,cdo-sample-api_mem,cdo-sample-api_cpu,cdo-sample-api_delay,notification-service_mem,notification-service_cpu,notification-service_delay
1782887398,19456000.000000,0.000165,4.813333,40370176.000000,0.000474,4.845638
1782887428,19456000.000000,0.000453,4.750000,40370176.000000,0.000544,4.813333
1782887458,19456000.000000,0.000182,4.750000,40370176.000000,0.000410,4.813333
1782887488,19456000.000000,0.000321,4.750000,40370176.000000,0.000505,4.813333
1782887518,19456000.000000,0.000189,4.750000,40374272.000000,0.000509,4.813334
1782887548,19456000.000000,0.000319,4.750000,40374272.000000,0.000408,4.813333
1782887578,19456000.000000,0.000159,4.750000,40370176.000000,0.000539,4.813333
1782887608,19456000.000000,0.000274,4.750000,40374272.000000,0.000546,4.813333
1782887638,19456000.000000,0.000272,4.750000,40370176.000000,0.000557,4.813333
1782887668,19456000.000000,0.000369,4.750000,40370176.000000,0.000533,4.781457
1782887698,19456000.000000,0.000243,4.750000,40370176.000000,0.000468,4.781457
1782887728,19456000.000000,0.000274,4.750000,40370176.000000,0.000370,4.781457
1782887758,19456000.000000,0.000141,4.750000,40374272.000000,0.000528,4.781457
1782887788,19456000.000000,0.000362,4.750000,40374272.000000,0.000454,4.781457
1782887818,19456000.000000,0.000289,4.750000,40370176.000000,0.000425,4.781457
1782887848,19456000.000000,0.000257,4.750000,40370176.000000,0.000558,4.813333
1782887878,19456000.000000,0.000288,4.750000,40370176.000000,0.000579,4.813333
1782887908,19456000.000000,0.000336,4.750000,40374272.000000,0.000601,4.781457
1782887938,19456000.000000,0.000251,4.750000,40370176.000000,0.000448,4.781457
1782887968,19456000.000000,0.000257,4.750000,40370176.000000,0.000526,4.781457
1782887998,19456000.000000,0.000237,4.750000,40370176.000000,0.000632,4.781457
1782888028,19456000.000000,0.000416,4.750000,40370176.000000,0.000647,4.813333
1782888058,19456000.000000,0.000264,4.750000,40370176.000000,0.000502,4.813333
1782888088,19456000.000000,0.000183,4.750000,40370176.000000,0.000470,4.845638
1782888118,19456000.000000,0.000311,4.750000,40370176.000000,0.000564,4.845637
1782888148,19456000.000000,0.000427,4.813333,40370176.000000,0.000421,4.813333
1782888178,19456000.000000,0.000253,4.813333,40370176.000000,0.000599,4.813333
1782888208,19456000.000000,0.000142,4.813333,40370176.000000,0.000480,4.813333
1782888238,19456000.000000,0.000311,4.813333,40370176.000000,0.000447,4.813333
1782888268,19456000.000000,0.000323,4.813333,40370176.000000,0.000528,4.813333
1782888298,19456000.000000,0.000305,4.813333,40370176.000000,0.000539,4.813333
1782888328,19464192.000000,0.000281,4.813333,40370176.000000,0.000452,4.781457
1782888358,19464192.000000,0.000247,4.813333,40370176.000000,0.000459,4.781457
1782888388,19464192.000000,0.000326,4.813333,40370176.000000,0.000564,4.750000
1782888418,19464192.000000,0.000254,4.813333,40374272.000000,0.000582,4.750000
1782888448,19464192.000000,0.000256,4.750000,40370176.000000,0.000477,4.750000
1782888478,19464192.000000,0.000156,4.750000,40374272.000000,0.000581,4.750000
1782888508,19464192.000000,,4.813333,40374272.000000,0.000497,4.750000
1782888538,19464192.000000,0.000273,4.813333,39706624.000000,0.000685,4.750000
1782888568,19464192.000000,0.000235,4.813333,39706624.000000,0.000470,4.781457
1782888598,19468288.000000,0.000269,4.813333,39706624.000000,0.000496,4.781457
1782888628,19468288.000000,0.000365,4.813333,39706624.000000,0.000569,4.813333
1782888658,19468288.000000,0.000276,4.813333,39706624.000000,0.000559,4.813333
1782888688,19468288.000000,0.000307,4.813333,39706624.000000,0.000417,4.845638
1782888718,19468288.000000,0.000239,4.813333,39706624.000000,0.000501,4.845638
1782888748,19468288.000000,0.000338,4.813333,39706624.000000,0.000481,4.845638
1782888778,19468288.000000,0.000359,4.813333,39706624.000000,0.000587,4.845638
1782888808,19468288.000000,0.000258,4.750000,39710720.000000,0.000472,4.845637
1782888838,19468288.000000,0.000250,4.750000,39706624.000000,0.000338,4.845638
1782888868,19468288.000000,0.000145,4.813333,39706624.000000,0.000617,4.813333
1782888898,19468288.000000,0.000420,4.813333,39706624.000000,0.000514,4.813334
1782888928,19472384.000000,0.000282,4.813333,39706624.000000,0.000502,4.813333
1782888958,19472384.000000,0.000151,4.813333,39706624.000000,0.000500,4.813333
1782888988,19472384.000000,,4.813333,39706624.000000,0.000554,4.813333
1782889018,19472384.000000,0.000342,4.813333,39710720.000000,0.000590,4.813333
1782889048,19472384.000000,0.000304,4.813333,39706624.000000,0.000558,4.845638
1782889078,19472384.000000,0.000250,4.813333,39706624.000000,0.000449,4.845638
1782889108,19472384.000000,0.000173,4.813333,39710720.000000,0.000609,4.845637
1782889138,19472384.000000,,4.813333,39706624.000000,0.000421,4.845638
1782889168,19472384.000000,0.000281,4.750000,39706624.000000,0.000481,4.878378
1782889198,19472384.000000,0.000287,4.750000,39706624.000000,0.000523,4.878380
1782889228,19472384.000000,0.000221,4.750000,39706624.000000,0.000599,4.878378
1782889258,19472384.000000,0.000376,4.750000,39706624.000000,0.000454,4.878379
1782889288,19472384.000000,0.000244,4.750000,39706624.000000,0.000540,4.878378
1782889318,19472384.000000,0.000241,4.750000,39706624.000000,0.000540,4.878378
1782889348,19472384.000000,,4.750000,39706624.000000,0.000607,4.878378
1782889378,19472384.000000,0.000129,4.750000,39710720.000000,0.000475,4.878380
1782889408,19472384.000000,0.000144,4.750000,39706624.000000,0.000564,4.911565
1782889438,19472384.000000,,4.750000,39706624.000000,0.000517,4.911565
1782889468,19472384.000000,0.000264,4.750000,39706624.000000,0.000508,4.878378
1782889498,19472384.000000,0.000418,4.750000,39706624.000000,0.000477,4.878378
1782889528,19472384.000000,0.000307,4.813333,40288256.000000,0.000656,4.878378
1782889558,19472384.000000,0.000145,4.813333,40366080.000000,0.000542,4.878378
1782889588,19472384.000000,0.000298,4.813333,40366080.000000,0.000487,4.845638
1782889618,19476480.000000,0.000359,4.813333,40366080.000000,0.000403,4.845638
1782889648,19476480.000000,0.000249,4.813333,40370176.000000,0.000476,4.845638
1782889678,19476480.000000,0.000131,4.813333,40366080.000000,0.000466,4.845638
1782889708,19476480.000000,,4.813333,40366080.000000,0.000596,4.845638
1782889738,19480576.000000,0.000286,4.813333,40366080.000000,0.000643,4.845638
1782889768,19480576.000000,0.000285,4.813333,40366080.000000,0.000504,4.845637
1782889798,19480576.000000,0.000138,4.813333,40366080.000000,0.000496,4.845638
1782889828,19480576.000000,0.000100,4.750000,40366080.000000,0.000488,4.813333
1782889858,19480576.000000,0.000123,4.750000,40370176.000000,0.000568,4.813333
1782889888,19480576.000000,,4.750000,40366080.000000,0.000654,4.845638
1782889918,19480576.000000,0.000254,4.750000,40366080.000000,0.000461,4.845638
1782889948,19480576.000000,0.000252,4.750000,40366080.000000,0.000459,4.813333
1782889978,19480576.000000,0.000300,4.750000,40370176.000000,0.000520,4.813333
1782890008,19480576.000000,0.000325,4.750000,40366080.000000,0.000621,4.781457
1782890038,19480576.000000,0.000264,4.750000,40370176.000000,0.000473,4.781457
1782890068,19480576.000000,0.000273,4.750000,40366080.000000,0.000528,4.813333
1782890098,19480576.000000,0.000143,4.750000,40370176.000000,0.000521,4.813333
1782890128,19480576.000000,,4.750000,40366080.000000,0.000565,4.813333
1782890158,19480576.000000,0.000241,4.750000,40370176.000000,0.000515,4.813333
1782890188,19480576.000000,0.000350,4.813333,40370176.000000,0.000434,4.781457
1782890218,19480576.000000,0.000160,4.813333,40370176.000000,0.000585,4.781457
1782890248,19480576.000000,0.000472,4.878378,40370176.000000,0.000376,4.781457
1782890278,19480576.000000,0.000236,4.878378,40370176.000000,0.000610,4.781457
1782890308,19480576.000000,0.000135,4.878378,40370176.000000,0.000566,4.781457
1782890338,19480576.000000,0.000103,4.878378,40370176.000000,0.000496,4.781457
1782890368,19480576.000000,0.000135,4.878378,40374272.000000,0.000577,4.750000
1782890398,19480576.000000,,4.878378,40370176.000000,0.000521,4.750000
1782890428,19480576.000000,0.000244,4.878378,40370176.000000,0.000419,4.781457
1782890458,19480576.000000,0.000286,4.878378,40370176.000000,0.000544,4.781457
1782890488,19480576.000000,0.000389,4.813333,40370176.000000,0.000467,4.781457
1782890518,19480576.000000,0.000260,4.813333,40374272.000000,0.000489,4.781457
1782890548,19480576.000000,0.000351,4.813333,40370176.000000,0.000522,4.813333
1782890578,19480576.000000,0.000256,4.813333,40374272.000000,0.000555,4.813333
1782890608,19480576.000000,0.000390,4.813333,40374272.000000,0.000584,4.813333
1782890638,19480576.000000,0.000242,4.813333,40378368.000000,0.000502,4.813334
1782890668,19746816.000000,0.000314,4.813333,40374272.000000,0.000547,4.813333
1782890698,19480576.000000,0.000221,4.813333,40374272.000000,0.000452,4.813333
1782890728,19480576.000000,0.000322,4.813333,40378368.000000,0.000526,4.781457
1782890758,19480576.000000,0.000268,4.813333,40374272.000000,0.000556,4.781457
1782890788,19480576.000000,,4.813333,40374272.000000,0.000346,4.781457
1782890818,19480576.000000,0.000182,4.813333,40374272.000000,0.000456,4.781457
1782890848,19484672.000000,0.000362,4.750000,40374272.000000,0.000558,4.750000
1782890878,19480576.000000,0.000243,4.750000,40374272.000000,0.000530,4.750000
1782890908,19480576.000000,0.000262,4.750000,40374272.000000,0.000486,4.781457
